,name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mood
0,Too Good At Goodbyes - Edit,0.653,0.378,-8.273,0.0533,0.658,0.0,0.177,0.54,91.835,5,calm
1,Say You Won't Let Go,0.358,0.557,-7.398,0.059,0.695,0.0,0.0902,0.494,85.043,10,calm
2,Let Her Go,0.479,0.545,-7.346,0.0688,0.365,0.0,0.0963,0.244,74.897,7,calm
3,Photograph,0.614,0.379,-10.48,0.0476,0.607,0.000464,0.0986,0.201,107.989,4,calm
4,I'm Not The Only One,0.453,0.496,-5.785,0.0453,0.554,2.65e-05,0.0772,0.501,80.994,5,calm
5,Air,0.758,0.501,-7.051,0.0589,0.252,0.0,0.191,0.397,78.042,0,calm
6,Stay With Me,0.479,0.419,-6.517,0.0389,0.568,0.000217,0.11,0.186,85.014,0,calm
7,This Place is Near You,0.715,0.834,-8.064,0.074,0.0108,0.64,0.136,0.357,114.967,8,calm
8,Summertime Sadness,0.565,0.654,-6.826,0.0335,0.0542,1.8e-06,0.122,0.235,111.968,1,calm
9,Sweater Weather,0.695,0.615,-5.325,0.042,0.15,0.000212,0.0879,0.414,124.015,7,calm
10,Tonight,0.868,0.7,-6.408,0.1,0.0933,0.00685,0.0815,0.458,121.988,7,calm
11,Tee Shirt - Soundtrack Version,0.684,0.341,-9.497,0.0272,0.837,2.69e-05,0.0883,0.557,75.948,9,calm
12,sinner's prayer,0.497,0.294,-12.694,0.0277,0.595,0.0,0.345,0.489,164.27,0,calm
13,Thinking out Loud,0.781,0.445,-6.061,0.0295,0.474,0.0,0.184,0.591,78.998,2,calm
14,Calm Down (with Selena Gomez),0.801,0.806,-5.206,0.0381,0.382,0.000669,0.114,0.802,106.999,11,calm
15,Need The Sun To Break,0.537,0.485,-8.131,0.0332,0.102,3.83e-06,0.319,0.293,152.012,2,calm
16,I Guess I Just Feel Like,0.546,0.477,-9.051,0.0273,0.559,0.0612,0.0911,0.16,160.0,4,calm
17,Glimpse of Us,0.44,0.317,-9.258,0.0531,0.891,4.78e-06,0.141,0.268,169.914,8,calm
18,It's Depression (feat. Middle Part),0.612,0.805,-3.963,0.0711,7.58e-05,0.000785,0.0837,0.7,160.116,2,calm
19,All of Me,0.422,0.264,-7.064,0.0322,0.922,0.0,0.132,0.331,119.93,8,calm
20,I'm Not Your Mother,0.626,0.577,-5.999,0.078,0.314,0.000124,0.151,0.501,80.058,6,calm
21,Moonlit,0.546,0.937,-7.146,0.0318,5.74e-05,0.903,0.124,0.299,116.591,1,calm
22,A Little Too Much,0.553,0.507,-6.24,0.0304,0.473,0.0,0.108,0.57,83.093,11,calm
23,You & I,0.574,0.329,-6.829,0.0274,0.22,0.0,0.0986,0.356,130.993,1,calm
24,Photograph,0.614,0.379,-10.48,0.0476,0.607,0.000464,0.0986,0.201,107.989,4,calm
25,Long Way Down,0.367,0.121,-13.778,0.0335,0.972,0.0322,0.0871,0.0926,132.244,6,calm
26,childhood,0.63,0.258,-12.561,0.0348,0.666,0.0,0.224,0.598,81.02,8,calm
27,A letter to my younger self,0.642,0.455,-7.558,0.0333,0.983,0.00561,0.105,0.725,91.718,1,calm
28,Make You Feel My Love,0.325,0.18,-10.647,0.0311,0.91,0.000633,0.113,0.0997,72.416,10,calm
29,I'm Not The Only One,0.679,0.487,-5.811,0.0352,0.545,3.36e-05,0.0772,0.506,81.994,5,calm
30,Colder,0.436,0.337,-11.406,0.0312,0.716,0.0,0.112,0.147,132.589,7,calm
31,Kiss Me,0.589,0.227,-16.67,0.0498,0.64,0.00469,0.0248,0.182,74.993,2,calm
32,Good News,0.794,0.32,-12.92,0.173,0.853,0.134,0.112,0.241,174.088,1,calm
33,Past Memories,0.119,0.00478,-40.239,0.0418,0.962,0.932,0.111,0.0384,81.569,10,calm
34,Can I Be Him,0.696,0.543,-6.164,0.0489,0.308,0.0,0.0939,0.479,107.969,11,calm
35,Let It Go,0.546,0.311,-10.396,0.0288,0.818,1.65e-05,0.107,0.246,147.464,1,calm
36,Thank God,0.561,0.314,-11.939,0.177,0.638,0.0,0.102,0.743,74.637,11,calm
37,Talk (feat. Disclosure),0.9,0.4,-8.575,0.127,0.0516,0.0,0.0599,0.346,135.984,0,calm
38,Happier,0.522,0.385,-7.355,0.0288,0.536,0.0,0.135,0.236,89.792,0,calm
39,Rebel (If I Lie),0.562,0.534,-9.376,0.0406,0.73,1.28e-05,0.101,0.107,139.956,7,calm
40,Tiger in My Tank,0.542,0.557,-8.256,0.0362,0.292,3.95e-06,0.108,0.37,155.874,2,calm
41,Runaway,0.446,0.71,-7.234,0.042,0.0491,0.00152,0.109,0.465,91.397,5,calm
42,Dancing On My Own,0.608,0.174,-8.796,0.0332,0.851,1.92e-05,0.0855,0.193,112.175,1,calm
43,Because I Had You,0.559,0.337,-9.751,0.404,0.331,0.0,0.311,0.705,203.231,7,calm
44,Chasing Your Dream - Acoustic,0.686,0.481,-7.176,0.0579,0.644,0.0,0.106,0.791,94.864,9,calm
45,One Of Those Nights,0.648,0.67,-6.407,0.0392,0.0112,0.0,0.127,0.638,94.956,1,calm
46,Banana Pancakes,0.816,0.375,-8.053,0.0996,0.607,8.66e-06,0.0933,0.615,114.303,7,calm
47,We Don't Have To Take Our Clothes Off,0.565,0.176,-9.254,0.0419,0.956,5.47e-06,0.108,0.301,97.931,0,calm
48,whispa,0.337,0.118,-21.241,0.0359,0.902,0.876,0.0927,0.0383,146.647,9,calm
49,golden hour,0.515,0.593,-4.801,0.0322,0.653,0.162,0.25,0.153,94.467,4,calm
50,bellyache,0.695,0.573,-8.597,0.106,0.46,0.0734,0.482,0.408,99.939,4,calm
51,Young And Beautiful,0.324,0.416,-8.92,0.0368,0.262,3.69e-05,0.11,0.151,113.986,11,calm
52,Ignorance Is Violence,0.685,0.558,-11.194,0.0366,0.0382,0.00636,0.286,0.32,120.022,7,calm
53,Hold Me Down,0.463,0.427,-9.799,0.0549,0.628,0.000565,0.0911,0.231,116.059,8,calm
54,Fix You,0.209,0.417,-8.74,0.0338,0.164,0.00196,0.113,0.124,138.178,3,calm
55,All of the Stars,0.436,0.562,-6.106,0.0278,0.0102,0.000278,0.198,0.24,150.066,11,calm
56,Mystical Path,0.534,0.728,-6.71,0.0325,0.000668,0.871,0.075,0.149,95.001,1,calm
57,The A Team,0.642,0.289,-9.918,0.0367,0.669,0.0,0.18,0.407,84.996,9,calm
58,"always, i'll care",0.784,0.278,-10.745,0.041,0.918,0.000196,0.112,0.741,105.034,6,calm
59,look at the sky tonight,0.532,0.116,-16.135,0.0383,0.905,0.886,0.115,0.0597,110.087,0,calm
60,Skinny Love,0.379,0.29,-8.485,0.051,0.952,0.00106,0.118,0.169,166.467,4,calm
61,Star Shopping,0.585,0.471,-9.934,0.0616,0.0967,0.0184,0.115,0.323,93.099,4,calm
62,Last Memory,0.661,0.552,-8.901,0.0318,0.000135,0.628,0.167,0.442,107.985,2,calm
63,Show You,0.651,0.681,-5.006,0.0497,0.0422,0.0,0.338,0.761,165.889,2,calm
64,Perfect,0.599,0.448,-6.312,0.0232,0.163,0.0,0.106,0.168,95.05,8,calm
65,FourFiveSeconds,0.582,0.272,-5.662,0.0501,0.875,0.0,0.13,0.354,205.846,2,calm
66,Supernova,0.618,0.299,-8.692,0.0368,0.907,0.0,0.16,0.353,119.811,2,calm
67,Until I Found You,0.346,0.5,-6.097,0.0388,0.757,0.0,0.189,0.191,202.466,10,calm
68,Supermarket Flowers,0.589,0.242,-10.517,0.0442,0.914,0.0,0.0887,0.257,89.749,6,calm
69,Better Together,0.868,0.347,-9.529,0.0536,0.308,2e-05,0.11,0.659,110.059,5,calm
70,Count on Me,0.589,0.389,-5.972,0.028,0.851,0.0,0.0772,0.501,89.1,0,calm
71,Someone To Stay,0.436,0.473,-7.24,0.0307,0.588,4.35e-05,0.103,0.242,108.906,1,calm
72,Lay Me Down,0.463,0.198,-11.003,0.0387,0.915,0.0,0.106,0.369,123.63,4,calm
73,We Don't Have To Take Our Clothes Off,0.572,0.231,-6.316,0.0334,0.953,3.88e-06,0.111,0.332,96.729,0,calm
74,after the rain,0.287,0.349,-14.921,0.0591,0.792,0.901,0.0893,0.0376,102.72,7,calm
75,Roses,0.611,0.489,-6.771,0.0343,0.4,0.0,0.117,0.267,78.145,0,calm
